country,date,experiment_id,order_id,spend_usd,user_bucket,user_id,vertical
JP,4/1/17,12624549,1.40E+19,48.416566,10,1.79E+19,GAMES
JP,4/6/17,12624549,1.11E+19,48.738566,10,1.79E+19,GAMES
JP,4/1/17,12624549,1.44E+19,48.416566,10,1.79E+19,GAMES
JP,4/6/17,12624549,1.29E+19,88.451472,10,1.79E+19,GAMES
JP,4/1/17,12624549,1.65E+19,48.416566,10,1.79E+19,GAMES
JP,4/1/17,12624549,5.98E+18,48.416566,10,1.79E+19,GAMES
JP,4/5/17,12624549,1.05E+19,48.717045,10,1.79E+19,GAMES
JP,4/1/17,12624549,5.88E+18,26.898092,10,1.79E+19,GAMES
JP,4/1/17,12624549,1.68E+18,48.416566,10,1.79E+19,GAMES
JP,4/1/17,12624549,1.06E+19,48.416566,10,1.79E+19,GAMES
,,12624548,,0,10,1.32E+19,
,,12624549,,0,15,9.48E+17,
,,12624549,,0,9,6.14E+18,
,,12624548,,0,13,6.96E+18,
JP,4/4/17,12624548,1.92E+18,6.495606,18,1.39E+19,GAMES
JP,4/7/17,12624548,7.55E+18,6.492545,18,1.39E+19,GAMES
JP,4/7/17,12624548,1.74E+19,2.164181,18,1.39E+19,GAMES
JP,4/7/17,12624548,9.52E+18,6.492545,18,1.39E+19,GAMES
JP,4/1/17,12624548,3.36E+18,6.455542,18,1.39E+19,GAMES
JP,4/4/17,12624548,4.82E+18,6.495606,18,1.39E+19,GAMES
JP,4/3/17,12624548,2.54E+17,6.481476,18,1.39E+19,GAMES
JP,4/3/17,12624548,1.59E+19,2.160492,18,1.39E+19,GAMES
JP,4/4/17,12624548,9.03E+18,6.508501,18,1.39E+19,GAMES
JP,4/2/17,12624548,6.64E+18,2.151847,18,1.39E+19,GAMES
JP,4/2/17,12624548,1.28E+19,6.455542,18,1.39E+19,GAMES
,,12624548,,0,6,1.34E+19,
,,12624548,,0,1,1.67E+19,
US,4/3/17,12624549,7.54E+18,1.99,10,7.23E+18,GAMES
,,12624549,,0,10,2.68E+18,
AT,4/1/17,12624549,1.38E+19,10.661877,1,1.07E+19,GAMES
,,12624548,,0,16,1.52E+19,
,,12624548,,0,7,1.58E+19,
,,12624549,,0,3,1.50E+19,
,,12624548,,0,20,7.85E+18,
,,12624549,,0,19,1.73E+19,
,,12624549,,0,13,1.25E+19,
,,12624548,,0,9,5.34E+18,
,,12624548,,0,9,1.04E+19,
,,12624548,,0,7,5.19E+18,
,,12624548,,0,1,5.36E+18,
,,12624549,,0,5,5.42E+18,
,,12624548,,0,10,8.21E+18,
,,12624549,,0,16,4.61E+18,
,,12624549,,0,12,2.46E+17,
,,12624549,,0,3,7.45E+18,
,,12624549,,0,16,1.02E+19,
,,12624549,,0,11,1.85E+18,
,,12624549,,0,7,2.35E+18,
,,12624549,,0,1,3.20E+18,
,,12624548,,0,2,1.10E+19,
,,12624549,,0,12,5.87E+18,
,,12624548,,0,12,4.99E+18,
,,12624549,,0,2,1.82E+19,
,,12624549,,0,19,1.45E+19,
PL,4/7/17,12624548,1.55E+19,2.009416,17,4.28E+18,GAMES
,,12624549,,0,8,5.93E+18,
,,12624548,,0,19,9.45E+18,
,,12624548,,0,18,5.43E+17,
,,12624549,,0,17,5.50E+18,
,,12624549,,0,2,1.61E+19,
,,12624549,,0,16,1.19E+19,
,,12624548,,0,14,9.66E+18,
,,12624549,,0,14,3.93E+17,
,,12624548,,0,15,8.39E+18,
,,12624548,,0,5,2.36E+18,
,,12624548,,0,2,4.89E+18,
,,12624548,,0,15,5.87E+18,
,,12624548,,0,10,2.11E+18,
,,12624548,,0,18,1.67E+18,
,,12624548,,0,4,1.15E+19,
,,12624548,,0,3,8.11E+18,
,,12624549,,0,4,8.79E+18,
,,12624548,,0,20,1.40E+19,
,,12624549,,0,15,4.48E+18,
TR,4/5/17,12624549,6.68E+18,1.431776,9,1.58E+19,GAMES
,,12624549,,0,3,5.33E+18,
,,12624548,,0,15,1.41E+19,
,,12624549,,0,12,5.76E+18,
,,12624549,,0,16,1.09E+19,
,,12624549,,0,17,1.17E+19,
,,12624549,,0,11,1.12E+19,
,,12624549,,0,14,1.48E+19,
,,12624548,,0,19,9.39E+18,
,,12624549,,0,1,6.48E+18,
US,4/1/17,12624549,1.42E+19,1.96,14,2.80E+18,GAMES
US,4/2/17,12624549,1.80E+19,1.96,14,2.80E+18,GAMES
US,4/1/17,12624549,1.34E+19,1.96,14,2.80E+18,GAMES
,,12624548,,0,7,1.81E+19,
,,12624548,,0,5,6.17E+17,
,,12624548,,0,16,4.68E+18,
,,12624548,,0,9,9.29E+18,
,,12624548,,0,8,9.66E+18,
,,12624549,,0,16,1.43E+19,
SG,4/1/17,12624548,1.42E+18,1.059217,6,6.71E+18,GAMES
SG,4/6/17,12624548,4.66E+18,49.19957,6,6.71E+18,GAMES
US,4/6/17,12624548,2.99E+17,1.99,6,9.42E+18,GAMES
,,12624548,,0,20,3.48E+18,
,,12624548,,0,4,1.49E+19,
,,12624548,,0,8,1.62E+19,
,,12624549,,0,17,1.64E+19,
,,12624548,,0,17,6.76E+18,
,,12624549,,0,9,1.16E+19,
,,12624548,,0,1,2.82E+17,
,,12624548,,0,3,6.23E+18,
,,12624549,,0,11,1.52E+19,
,,12624549,,0,20,5.23E+18,
,,12624548,,0,6,1.37E+18,
,,12624549,,0,20,2.44E+18,
JP,4/3/17,12624548,1.08E+19,1.080246,11,6.25E+18,GAMES
JP,4/5/17,12624548,2.40E+18,1.082601,11,6.25E+18,GAMES
JP,4/6/17,12624548,1.77E+19,1.083079,11,6.25E+18,GAMES
,,12624548,,0,14,7.94E+18,
,,12624548,,0,5,4.77E+18,
,,12624548,,0,4,6.61E+18,
,,12624549,,0,3,1.03E+19,
,,12624549,,0,4,9.75E+18,
,,12624549,,0,20,1.51E+19,
,,12624549,,0,14,9.51E+18,
,,12624548,,0,5,1.38E+19,
,,12624548,,0,15,1.81E+19,
,,12624549,,0,2,1.65E+18,
FR,4/2/17,12624549,1.70E+19,21.334427,7,1.21E+19,GAMES
US,4/7/17,12624548,1.50E+19,4.99,6,1.48E+17,GAMES
,,12624548,,0,7,7.33E+18,
,,12624549,,0,10,1.50E+19,
,,12624549,,0,17,2.19E+18,
,,12624548,,0,6,1.79E+19,
DE,4/4/17,12624549,4.42E+18,8.520245,8,9.88E+18,MOVIES
DE,4/4/17,12624549,1.12E+19,4.25479,8,9.88E+18,MOVIES
,,12624548,,0,18,2.98E+18,
,,12624549,,0,11,1.00E+18,
,,12624548,,0,15,3.89E+18,
,,12624548,,0,9,8.43E+17,
,,12624549,,0,7,1.06E+19,
,,12624549,,0,2,3.80E+18,
,,12624548,,0,1,1.47E+19,
,,12624548,,0,6,1.15E+19,
,,12624548,,0,8,1.36E+19,
,,12624549,,0,12,6.11E+18,
,,12624549,,0,10,4.87E+17,
,,12624548,,0,18,1.79E+19,
,,12624549,,0,12,1.14E+19,
,,12624549,,0,18,1.09E+19,
,,12624548,,0,14,5.49E+18,
,,12624549,,0,20,1.55E+18,
,,12624548,,0,9,1.81E+19,
,,12624549,,0,12,4.52E+18,
,,12624548,,0,14,1.37E+19,
,,12624548,,0,16,9.73E+18,
,,12624548,,0,18,5.14E+18,
,,12624548,,0,10,1.04E+19,
,,12624548,,0,15,7.66E+18,
,,12624548,,0,5,1.01E+19,
,,12624548,,0,18,8.89E+18,
